256,-127,181
233,-146,176
219,-164,200
252,-204,181
237,-221,181
263,-216,228
268,-186,237
228,-221,103
202,-233,0
186,-211,117
146,-292,143
-28,233,268
-146,167,226
-190,174,204
-186,200,105
-228,141,9
-204,178,-2
-183,197,63
-223,169,167
263,91,296
226,108,-268
148,113,226
183,122,216
219,127,299
134,120,-292
80,105,266
143,169,-287
134,141,-216
42,115,-219
56,105,-183
101,146,-186
84,124,-120
-4,115,-105
0,129,-129
4,131,-138
101,136,-162
280,160,-117
162,164,275
167,176,186
181,183,91
87,136,63
21,28,169
254,87,42
-273,113,14
63,256,25
28,247,18
-18,157,153
32,160,167
75,138,-14
221,193,94
-268,273,131
-249,259,49
157,249,221
-134,280,214
-209,230,47
-226,230,49
-230,207,87
-115,228,150
-9,216,270
-110,162,299
-96,138,-289
-91,134,261
105,134,178
-150,143,-174
-75,54,251
-18,129,-244
-89,80,277
-190,37,261
-186,16,-287
-42,-4,287
-148,-35,-237
-105,-42,-240
-21,-61,-256
-47,-89,-240
-113,-124,-256
-120,-157,254
-117,-197,235
-82,-157,-171
-160,-223,-277
-117,-211,-270
-162,-207,-254
-195,-249,-247
-223,-249,-209
-226,-294,294
-249,294,237
-277,280,207
-230,-299,-287
-261,-294,-259
-263,-282,275
-254,292,188
287,270,129
186,-261,101
226,-230,120
-277,-167,117
-280,-75,28
-242,0,186
186,87,105
157,136,37
4,136,-16
-296,176,61
204,120,195
221,176,54
124,282,115
42,-124,61
-32,-65,275
28,-82,-252
70,-110,-195
89,-150,-221
-32,40,-209
-18,-30,-141
-61,21,-254
-101,23,-193
-77,91,-195
-25,68,-202
-28,98,-157
-30,63,-171
-23,16,-219
-16,-14,-211
-40,77,-179
-82,7,-127
171,-47,-233
292,157,-263
221,4,-266
176,-84,284
82,-143,-275
101,-131,-176
63,-56,-101
263,-65,301
195,-129,-266
110,-134,-235
207,-80,-148
289,-124,-169
252,-7,-117
256,-18,-122
214,-89,-87
-294,-56,-35
-240,-115,23
-266,-131,101
-214,-122,186
-207,-63,237
-292,-162,169
-282,-153,202
-230,-242,226
-143,-200,287
-282,-284,-169
275,240,-155
259,247,-25
240,242,-82
214,216,-266
266,200,-221
299,113,-131
-235,63,-49
-268,-11,-235
-200,63,-131
-61,84,-65
-32,35,-56
77,-51,-80
150,-32,-247
136,-47,247
80,-25,16
30,-14,-54
-44,-11,-110
-49,49,-68
-44,63,-108
-42,94,-242
254,89,230
-214,146,190
-193,204,-275
-230,183,-284
-299,-292,131
233,-256,18
202,-261,49
219,-252,110
44,-237,171
9,-143,195
73,-155,162
-16,-153,129
-25,-162,190
-18,-169,-294
32,-49,-230
-143,-28,-287
-247,-42,292
-146,-58,-174
-143,-35,-195
-252,-37,259
-259,-242,178
294,-247,204
289,148,223
171,244,-280
169,259,296
167,294,249
178,235,254
200,237,254
183,195,254
157,226,-294
103,200,-207
84,247,-244
77,188,-230
113,150,-294
138,219,-219
40,150,-207
84,63,-209
122,-28,-65
28,-284,-240
249,87,294
183,-160,292
117,42,-244
141,47,-190
101,-2,-259
-7,14,-226
-120,35,-44
37,32,-160
-68,-63,-188
193,-44,-169
105,-148,-221
21,-80,-143
40,-96,14
2,-138,-11
-16,-141,-7
89,-42,-223
-211,-277,18
110,65,221
-47,-80,-89
51,-37,-51
73,11,122
65,11,89
44,30,127
73,11,273
131,2,299
-32,-63,141
162,30,226
216,47,237
263,84,176
157,40,263
-11,16,-261
-91,35,-240
82,94,-242
150,108,289
200,124,-244
167,162,-221
127,167,-237
136,228,-186
263,-294,-235
-51,-256,-287
160,190,-280
211,282,-171
247,211,-228
235,233,-141
-228,101,-181
261,273,-98
-284,134,-141
-280,200,-122
-261,134,56
-216,138,65
-242,155,18
256,226,-148
-270,204,-299
-162,16,-122
-284,252,-73
-263,202,-21
-299,207,-54
-282,94,-178
-270,25,-296
-268,82,-183
-223,273,37
-186,-292,-7
-235,181,-148
294,186,-143
244,157,-21
233,148,-127
240,115,-155
263,273,-56
146,-181,299
-299,174,-28
-287,214,-136
-275,211,-148
-230,-294,-223
254,289,-141
280,275,-169
268,294,-197
-284,268,-176
179,18,-284
-273,-178,-101
-105,-204,101
-134,-296,136
-200,-296,-40
-296,-178,-197
-223,294,-190
-70,-266,-235
-14,-244,-240
-16,-230,-84
30,-183,-96
-18,-270,-160
49,-108,-178
4,-171,-200
-16,-193,-138
25,-164,-115
28,-150,-146
0,-160,-124
0,-153,-193
61,-124,-188
89,-105,-171
-261,252,18
-65,-47,63
-96,277,-289
56,-221,-244
-28,-101,-178
-150,-188,-228
-84,-153,-261
-4,-110,254
58,-164,235
117,-56,226
23,68,249
0,23,190
127,164,209
7,80,188
63,2,113
113,-134,209
2,-94,254
61,-11,277
195,174,178
108,143,294
4,-35,294
-4,-89,-273
-65,-171,-195
-146,-235,-186
-190,-280,-150
-162,-226,-153
-117,-211,-190
-63,-127,-164
-70,-127,-157
-136,-237,-178
42,-244,-146
35,-204,-153
129,-188,-148
197,-138,-153
160,-186,-204
221,-136,-176
-289,-103,-171
-292,-58,-164
289,-131,-146
292,-155,-117
259,-176,-94
188,-178,-105
171,-211,-164
73,-178,-40
40,-129,42
-98,-197,-75
-223,-233,-96
-155,-270,-40
-131,-256,-80
-117,-247,-77
-136,-197,11
-237,-204,-61
-256,-207,-84
-240,-193,-171
-223,-188,-219
270,-230,-219
263,-176,190
266,-157,117
-292,-103,-28
-268,-87,-129
-202,-117,-138
289,-174,-117
204,-237,-40
-176,-113,-120
-162,-84,-273
-131,-73,292
-207,-91,301
-233,-124,-254
-131,-148,-287
-117,-287,273
-167,-178,-254
-47,-115,-247
-127,-40,-247
-51,-101,-240
58,-63,-256
110,-56,-235
54,-73,-226
134,-49,263
124,-101,296
181,-25,273
122,-42,-240
141,-37,-273
261,16,-275
237,-18,-296
256,-73,-294
273,-61,-287
280,-23,282
273,30,162
